CustomerID,Name,Age,MonthlyBill,DataUsageGB,ContractMonths,DevicesOwned,Exited,PhoneNumber,EmailAddress,City,State,ZipCode,PlanType,TotalSpent,CustomerSince,LastInteraction
8a97e95f-d6f7-4438-9a53-b5463cee7845,Carol Johnson,58,87.03,9.15,36,4,0,(499)927-0212,hernandezjeremy@example.net,Campbellview,Arkansas,56882,Premium,922.75,2022-01-18,2023-02-18
34293ef2-5079-4fb1-807e-974f22929b1f,Teresa Jones,70,69.23,4.95,24,5,0,326-268-8605x3984,rogeradams@example.com,Cameronland,California,37282,Standard,612.17,2022-11-23,2023-07-13
26fc98a7-70c2-4694-bee8-1c6afeb6cf7b,Anthony Silva,27,137.21,3.09,24,1,0,627-908-4865x555,susanmartin@example.com,Robbinsland,Wisconsin,41876,Basic,148.7,2020-04-17,2023-04-23
8c985891-2abb-428a-b7d4-291b4cdd5f17,Amanda Ford,41,106.89,5.21,24,3,1,708.829.3726,treynolds@example.com,Allenberg,Ohio,85205,Premium,892.23,2020-12-01,2023-01-06
4659b78d-6da0-4972-af57-d28a97794b3f,Elizabeth Edwards,64,40.51,6.66,24,1,0,001-356-787-8644x0863,keyalexandra@example.net,Lake Gregorystad,Tennessee,62793,Premium,648.77,2022-02-08,2023-04-21
8bda48e2-7a1c-437b-8b20-438b938f464f,Carlos Fisher,47,135.07,7.97,36,4,1,001-290-371-6584x691,warrenkyle@example.org,East Anna,North Carolina,20873,Premium,786.27,2022-12-31,2023-06-03
3b65f63f-f694-4016-8a4a-088aa0f261cf,Mr. Benjamin Wells,72,169.31,3.35,12,4,0,(632)855-1111x68055,julie45@example.net,North Davidland,New Jersey,22611,Basic,713.32,2022-07-31,2023-04-24
c53ba803-49e7-4721-bc49-193f0a1ec130,Eric Jones,73,54.9,7.96,36,1,1,+1-346-998-5414x2880,aschmidt@example.org,Port Stevenland,Kentucky,53765,Standard,350.01,2019-12-20,2023-01-24
7a644d07-9280-4bbb-b8a7-32467f1393d3,Robert Gill,77,47.47,1.86,24,4,1,418.642.6084,irowe@example.org,Lake Jacobfort,Montana,14480,Basic,754.79,2022-07-16,2022-11-18
524c351e-8c70-429e-bdf9-439607a6df60,Jennifer Allen,48,74.43,2.9,24,5,1,(928)839-8024,frank22@example.net,Jacobsfurt,Tennessee,07176,Premium,651.62,2022-05-26,2023-08-28
bda99186-de46-4bb8-b65a-3f397b952d7f,Lindsay Alexander,19,72.85,8.93,24,5,0,225-478-6567x7811,tracyatkinson@example.com,Martinburgh,Delaware,84534,Premium,684.58,2018-11-25,2023-02-14
638f77ec-cf53-4809-94e1-cb77513bd666,Angela Bowers,32,107.91,9.47,12,2,0,(499)791-9243,csanchez@example.org,West Stephanie,Kansas,64714,Premium,414.62,2022-05-17,2023-08-10
5dac0127-4e10-470e-9800-a00817f89ea9,Frank Brown,22,161.18,6.14,36,1,0,001-606-447-8012x04342,phorton@example.org,New Christinaburgh,California,88776,Basic,314.99,2019-10-21,2023-06-03
c31aae86-f6d9-467a-9210-3250096d2e33,James Nguyen,69,119.79,2.2,12,5,0,+1-783-985-7251,vanessa48@example.net,Blackfurt,Oklahoma,23009,Premium,842.34,2023-02-20,2023-05-03
d145758c-2ae5-4c1a-a06d-4fad5160c416,Kimberly Hernandez,41,72.44,3.98,36,2,0,+1-536-448-3821,tapiatracy@example.com,Masonton,New Jersey,43818,Standard,550.08,2022-07-03,2023-02-09
6998947b-e7fb-4458-a556-7a46fe2f0a71,Tiffany Phelps DDS,39,138.95,8.2,36,5,1,9006688253,bday@example.org,Ronaldchester,Minnesota,50758,Premium,362.36,2020-08-24,2023-01-09
53f95369-85d3-4bcd-af41-a708c45327b6,Martha Thompson,26,61.96,6.58,12,1,0,001-548-238-6051x8684,blankenshipbrenda@example.org,West Jennifer,Ohio,41737,Standard,441.43,2020-12-21,2022-11-25
3288e046-4f65-4601-a7ce-e57e084b6925,Laura Freeman DDS,74,193.07,7.38,36,2,0,798.949.6938x5431,eric58@example.net,East Sarah,Louisiana,93127,Standard,500.41,2022-06-27,2023-02-27
f0c3de36-7926-4e8e-85cf-f500047746f5,William Holland,79,169.64,6.61,12,4,1,(536)447-6387x98559,evan90@example.com,Johnfurt,Washington,97655,Premium,998.97,2022-10-22,2023-03-01
a18c7449-bdf2-4530-a727-35f4e93b5ed1,Kirk Perkins,25,126.09,5.37,12,2,0,(738)485-5330x4347,smithchristina@example.com,Lake Garyborough,Wisconsin,91840,Basic,309.28,2019-07-27,2023-03-06
a8be67b3-c158-42ba-a0a6-946680cd7e66,Debra Smith,64,93.22,3.12,36,1,1,206.969.9884x76817,alan69@example.org,Deniseton,Hawaii,06847,Standard,286.35,2021-05-08,2023-06-18
aaa23062-aaf4-42fa-9a4b-c3c3c64f01ed,Grace Davenport,65,167.03,8.6,36,4,1,238.600.2981x801,ccole@example.com,Port Sarah,New Hampshire,75856,Standard,756.14,2020-05-06,2023-01-21
9fd8c3ef-b260-453a-a03b-ec941c32c553,Tammy Cordova,32,168.15,9.24,36,2,1,001-612-928-6302x8964,garciasteven@example.com,Laurenside,Iowa,96142,Basic,678.05,2022-10-11,2022-12-04
994f3bef-bc0c-4ca8-924e-9bc3c70d3cea,Mike Fischer,57,59.33,4.61,24,1,0,717.929.3899x931,caldwellsarah@example.com,Michaelbury,Washington,71881,Standard,128.45,2019-12-03,2023-07-02
09f28225-e54a-4873-b176-98737d49c662,Rachael Johnson,38,59.4,3.99,24,3,0,256.552.8795x5986,richardphillips@example.com,South Joanna,Pennsylvania,08776,Premium,468.77,2020-01-13,2022-12-23
633d4217-8756-45cb-828d-000aa2d5d5b3,Stacey Garcia,30,137.67,6.76,36,3,0,767.952.5163x7822,mbooker@example.com,West Amymouth,Wisconsin,89735,Premium,766.24,2020-08-19,2022-10-20
38af934d-c8d7-4aaa-95c9-5479874213a5,James Harrison,28,124.45,2.34,36,3,1,(773)646-6542,matthew54@example.org,Wilsonfort,Oklahoma,45525,Premium,889.5,2021-08-03,2023-02-12
1c6f218e-e254-40e8-b82e-0ec76f67ea79,Curtis Davila,67,197.64,9.99,12,4,1,837.734.9659x8450,sullivanruth@example.net,Ochoamouth,Virginia,85607,Premium,363.65,2019-10-29,2023-06-29
32fbc577-f513-4bd2-9ddc-c29a0d085542,Audrey Singh,18,85.22,8.42,24,5,0,001-611-697-1404x1170,robertsilva@example.com,East Karenberg,Louisiana,78760,Premium,460.74,2022-03-22,2023-03-25
deca29eb-6175-43c0-83f7-12a0de626c3d,Sean Hardy,27,183.14,1.14,24,1,1,(503)412-2577x2386,johnrivera@example.org,South Juliastad,Kansas,53635,Premium,788.49,2020-09-30,2023-02-04
7019747b-bcf3-43de-ac6b-7b566c8dbd08,Barbara Moreno,42,190.36,2.17,12,5,1,+1-897-455-9412x25403,bakerjames@example.org,Chantown,Maryland,32033,Premium,882.92,2019-05-07,2023-05-23
383f646a-ce45-4bf2-bbce-c908595be364,Isabella Rosario,44,44.56,5.79,12,2,1,001-323-610-6630x2525,fosterdaniel@example.org,Reyesborough,Oregon,40284,Premium,708.99,2021-11-25,2022-11-18
4d595bb3-ca57-4375-a2f8-798c766d2bcd,Mitchell Horton,41,131.72,4.16,36,3,1,603-620-9510x0339,jwilliams@example.com,Rosalesfurt,West Virginia,57946,Premium,528.2,2023-08-02,2023-02-01
63c1f02f-c09a-462d-8bf5-072ad5301820,Kevin Carroll,43,144.65,9.86,24,1,0,001-704-441-3712x24511,fhutchinson@example.org,Christinaton,Michigan,08887,Basic,435.95,2019-02-15,2023-07-01
d3e35ca5-f657-43d5-bfa1-693b00edbd58,Linda Woods,68,129.53,5.26,36,1,1,492.911.7552x3542,obarr@example.org,East Danielstad,Montana,24764,Standard,385.24,2020-04-21,2023-08-30
3ef08650-6c7b-4c43-93de-b6e70f32ae69,Felicia Davies,21,138.7,8.45,24,2,1,001-990-935-6815,fgordon@example.net,Michaelfurt,North Carolina,48204,Basic,549.75,2020-12-30,2023-04-06
8f5702b6-9be9-4230-b893-34919cfe6b71,Allen Green,21,74.89,3.39,36,2,1,723-200-0445x862,alvarezsean@example.com,New Matthew,Washington,04200,Premium,426.24,2022-03-20,2022-11-14
744d10c4-8d3a-4bc3-a6ad-8275988d63d6,Logan Adkins,77,197.68,5.16,24,4,0,(288)598-8034,charlescampbell@example.com,Bauerport,North Carolina,19314,Premium,550.38,2022-11-12,2022-11-23
20402694-48a2-435b-ae49-0023a1400d74,Jessica Chen,53,160.25,8.18,24,1,1,(718)774-4698x51709,ssmith@example.org,West Craig,New York,05001,Premium,710.94,2022-04-26,2023-03-06
7f8f5f0e-362d-408c-bc5b-12e7be62a792,Lisa Robinson,76,64.92,3.5,36,2,1,(228)825-8662,vbriggs@example.org,South Lisa,New York,88357,Premium,638.62,2023-05-03,2023-04-05
91c7d0cd-3008-4de0-a07d-6d67086eb800,Sheryl Munoz,45,138.15,4.2,12,5,0,999-500-8507x26003,michellepearson@example.net,Wallaceberg,Washington,68977,Basic,692.5,2019-10-21,2022-11-20
dfc4556d-5c14-49dd-91c7-2cc97fa946bd,Ronald Park,24,91.68,3.07,12,1,0,907-592-2868x551,grantlauren@example.org,Richardfurt,South Dakota,76203,Premium,662.25,2023-01-23,2022-10-10
85d2deb2-6afc-4ca9-8a48-5ae117341a8b,Paul Nelson,45,123.8,6.75,24,4,1,(597)813-9899x28853,patrick44@example.org,Leeton,New Hampshire,60316,Basic,702.95,2021-10-05,2023-08-02
abde9bc1-53d6-49c0-8021-c46f1df50940,Amy Arroyo,61,93.14,3.15,36,5,0,621-715-0430x8175,ysimpson@example.net,Robbinsfort,Montana,02833,Basic,762.82,2018-12-08,2022-10-12
11154d8e-1818-477e-a46c-967492e07ee2,Christina Stewart,67,78.97,8.81,36,2,0,799-339-5814x267,sheryl72@example.com,Lucasville,Indiana,94150,Premium,136.78,2023-05-03,2022-12-21
f10ef0ac-63a2-45d7-bf6f-f27c417662ed,Matthew Gomez,58,65.83,4.4,12,5,1,(672)852-9018x57953,laurenduncan@example.com,Hoffmanburgh,Indiana,58362,Premium,816.53,2021-08-11,2022-11-30
4580f51f-6c00-434c-b44d-8bd983a2a7f6,Michelle Watson,41,134.18,4.81,24,4,0,001-820-799-3812x225,christinacook@example.org,Christinebury,North Dakota,06631,Standard,458.2,2021-07-26,2023-03-24
23fe1539-c786-483f-b519-c7db13c3273d,Olivia Chang,50,148.51,7.24,36,5,0,001-201-376-2733,jameswilson@example.org,Brianview,Ohio,03323,Basic,827.39,2021-05-24,2023-04-03
8030f97a-30c6-4c1b-8439-a59c8889e635,Vanessa Mason,58,181.63,8.76,12,2,0,001-242-766-8597x693,ycortez@example.com,South Normanborough,Maine,37417,Premium,109.33,2019-01-23,2023-01-09
62d5088d-e757-42ae-968a-997441e4235f,Bernard Webb,77,169.59,9.5,12,2,1,815.695.9466,fbrown@example.net,Schmidtborough,Nebraska,04600,Standard,815.73,2020-01-25,2023-08-31
0baaae94-99f3-4c02-b950-4a8f6e7951eb,Gabriel Nichols,74,189.46,9.35,36,3,0,001-637-353-6776x4110,joy40@example.com,Marystad,Maryland,82966,Basic,322.78,2018-11-26,2022-12-13
15958a92-6f91-4ad9-b0b0-97110a93c15a,Jeremiah Porter,37,191.97,4.37,24,2,1,001-900-456-0646x72888,burnsheather@example.org,Toddburgh,Maryland,06439,Basic,641.43,2023-02-18,2023-01-27
2f42ff45-a15b-42e0-8ba9-533a218e495d,Logan Atkinson,23,130.4,9.78,36,4,0,6402361098,paulthomas@example.net,Laurafort,Virginia,02499,Premium,825.29,2022-10-02,2023-03-17
7b5a9893-1408-4a2c-877a-10708404429c,Lorraine Simmons,68,97.14,3.28,12,2,1,(801)248-4021x408,edwardsbilly@example.com,Christinaborough,Arkansas,79496,Standard,744.01,2018-10-22,2022-11-02
89fb9e92-fd6c-4acb-bdc3-ddb339d7cde0,Bruce Cohen,62,188.44,3.84,12,4,1,(270)830-7629x563,spearsstephanie@example.net,Danielville,Oregon,68380,Basic,394.12,2022-10-28,2022-12-16
52e6b2c3-6313-4ac0-814b-eafa2620d406,Mark Silva,80,87.94,3.7,24,1,1,(475)507-2543x6091,fishermatthew@example.net,Rickshire,North Dakota,41479,Standard,920.44,2019-05-21,2023-06-04
a4b94b9d-0e06-4899-85a2-fbcabcfade07,Angela Weiss,37,83.3,4.44,24,2,0,3173410718,hardingmelissa@example.net,New Christopher,Montana,44915,Basic,824.05,2022-09-05,2022-12-09
4c6f7584-83eb-4af3-8700-b17fab82309d,Joanna Small,58,79.97,6.49,12,2,0,256-874-0358x564,amyharris@example.com,Charlesmouth,Minnesota,63137,Standard,974.5,2019-09-14,2023-09-22
5de75c0e-40eb-42b0-ab80-d8d7ad07dde1,Robert Brown,71,103.19,9.99,24,1,0,+1-230-724-5790x199,martinezpatrick@example.net,Josephborough,Montana,39935,Basic,412.24,2022-10-18,2023-05-23
7819211d-c84e-4322-a9a5-6e3c2e51a455,Debra Cruz,56,75.03,2.71,12,3,0,453.698.4515,patrick34@example.net,Lake Jenniferhaven,Connecticut,15406,Premium,191.45,2023-05-27,2023-09-07
4d5bd0b3-733a-40e3-bb84-3332cd6f920a,Luke Fisher,48,84.46,1.41,24,4,1,+1-280-810-3873x36585,nvillarreal@example.com,West Cameronshire,Oregon,74272,Basic,638.53,2019-09-03,2023-07-10
5752bd7b-ef82-476a-9bbd-2bf2a50c9e72,Jose Holloway,64,140.4,2.66,24,3,1,(460)203-4632x27728,valerie59@example.org,Lewisborough,New York,44105,Basic,600.94,2022-12-14,2022-10-15
fa96ee2a-d56b-4c11-8850-749505bc02c0,Lauren Green,36,75.15,7.78,12,3,1,888.954.8151x1866,dortiz@example.com,North Stacyburgh,Iowa,02407,Standard,860.31,2020-04-14,2022-11-16
725d9381-8444-4329-9040-a0c9fbd59723,Susan Martinez,74,89.87,8.98,12,1,1,4935655078,denise56@example.com,West Eric,New Jersey,39788,Standard,665.44,2020-05-05,2022-12-01
eea8dc45-e515-4725-bb4d-4ad9b80d2789,Stephen Williams,43,60.07,5.05,12,4,0,001-938-810-9032,alan01@example.com,Port Nicholaston,Louisiana,76275,Basic,878.28,2021-11-04,2023-04-11
6fe5c03d-105e-4468-b888-436e5b139cd4,Mary Green,54,47.16,2.5,12,1,1,517.699.9516x63686,hunterjessica@example.com,East Joseph,Tennessee,58003,Basic,251.26,2020-11-23,2022-11-18
fcbe1c08-c860-4c02-b617-bc8bae133b9d,Michael Pollard,23,42.77,7.88,36,4,1,001-342-394-3798x03141,mlang@example.org,Kennethhaven,Pennsylvania,39837,Standard,919.6,2021-12-17,2023-09-26
065586fe-e19b-4329-ad15-8234df64b076,Eric Morgan,23,75.1,8.84,12,3,0,(262)470-7517x6155,benjamin95@example.org,North Sarah,Utah,94723,Basic,532.42,2023-08-09,2023-03-18
c367cc75-f808-4218-b923-488c451e2e89,Taylor Floyd,36,185.97,4.96,12,5,1,598.250.0793x63317,zwilliams@example.net,Jasminestad,Iowa,33547,Basic,837.12,2019-05-06,2023-09-13
e7f3368b-ca7d-4d09-9777-1451dccdf265,George Taylor,61,150.1,7.79,36,5,1,683-582-1761x812,eric76@example.net,West Brianfurt,Maryland,14559,Basic,969.4,2023-01-08,2022-10-05
c8796ce0-b189-45ea-a01f-78f655755926,Ryan Chang,20,192.29,9.59,12,3,0,+1-526-336-9045x17645,xsanchez@example.org,Stephanieville,Alabama,34067,Premium,596.5,2022-05-02,2023-06-28
49d5c52a-6cc1-4d87-be5f-efc70f633249,Charles Jackson,57,36.77,8.53,24,2,0,(327)527-7019x843,matthewcruz@example.com,Port David,Arkansas,48006,Standard,419.28,2020-06-13,2023-09-24
961211f7-235d-4bc7-b6ea-a3e66be8d5aa,Richard Smith,32,90.84,1.18,36,3,0,+1-427-888-4121,julie94@example.org,Christopherbury,Massachusetts,09266,Basic,593.38,2020-11-03,2023-04-07
31cef2ed-897f-46a6-a71c-c627591e536b,Colleen Watts,46,46.73,5.83,24,1,1,+1-660-495-2419,yorkmiranda@example.net,Sandovalchester,Washington,46966,Standard,755.76,2020-10-14,2023-09-07
96757074-3737-4b8b-83bc-ad2eaded371d,Cheryl Wilkinson,24,163.29,5.96,12,5,1,680-833-9037x170,david72@example.com,West Jacob,New York,06436,Standard,270.96,2021-01-15,2023-02-15
fc1013cb-f2ae-4053-bbe7-9f8ccfd6b925,Jill Gonzalez,48,189.43,8.41,36,1,0,2306189837,amy46@example.net,New Wyatt,Iowa,04553,Standard,548.24,2019-02-27,2023-02-19
84ec8972-3884-4f05-b623-3dd82323a776,Michael Holland,40,137.12,7.49,24,1,0,(971)241-9433x687,mccormickjoseph@example.net,South Melindaview,North Dakota,84634,Premium,384.5,2022-08-05,2023-08-24
12a83417-6c89-4e1e-b3df-4d6eaccbfc60,Jennifer Carson,53,156.08,4.2,36,1,1,+1-738-328-1583x260,ricardo19@example.net,New Brianborough,Nevada,67880,Premium,327.54,2023-08-27,2023-07-25
20d21157-4c2a-47bf-9403-8098d4c08dae,Dylan Ruiz,68,84.58,3.91,12,5,0,9194404214,iglenn@example.com,Angelhaven,Florida,65949,Basic,573.81,2022-03-04,2022-10-28
6912a05c-2255-4e6d-8eb7-e82c16b2ccb4,Anthony Faulkner,66,117.7,4.17,36,3,1,(913)931-3315x740,pearsonsara@example.org,West Matthew,Illinois,44725,Basic,882.05,2019-11-18,2023-08-03
f63c16bf-fe95-419d-b253-465a7a4bbb01,Robert Keller,58,129.61,9.94,24,1,0,689.977.0556,wallacerachel@example.com,West Emma,Wyoming,17833,Basic,118.06,2019-05-06,2022-11-18
7383a123-491c-4878-8994-87c062623175,Benjamin Dorsey,19,107.27,6.74,12,1,0,511-325-9082,ygreene@example.net,Veronicaside,Nebraska,44986,Standard,608.74,2019-05-22,2023-01-17
d14bb982-1295-4b60-9651-2978c360ee5b,Cynthia Russo,78,108.45,5.05,24,3,0,(626)767-7407x2347,bruce02@example.com,Lake Jessica,Iowa,97183,Standard,100.26,2019-01-08,2022-10-23
a56ac656-82b3-4439-af9f-b5a32625900b,Molly Patel,42,38.58,3.26,12,4,1,962-360-6334,scottthompson@example.org,Tonyaland,Ohio,79948,Basic,766.73,2020-11-25,2023-07-12
dd46a69d-33f8-41c9-b3d7-b6f73ebf5c8c,Kevin Tran,52,92.42,1.28,36,2,1,589.347.2578,victoriaramirez@example.net,Brittanystad,New Jersey,04470,Basic,968.03,2021-03-09,2023-09-30
bbb39787-7471-4c84-8cb5-a8f43de27c85,Walter Patterson,58,97.73,1.58,36,3,0,277-933-1706,kgonzalez@example.com,Lake Donna,Maine,84119,Standard,611.3,2020-01-11,2023-02-01
612fd245-c721-4470-b421-4e35528ec6b9,Sandra Nolan,73,153.93,6.3,36,3,0,625-775-5047x6117,bruiz@example.org,South Joseph,Alaska,89638,Basic,958.75,2022-09-26,2023-05-18
70a56c2a-9844-4590-bb51-f1de00ec87d1,Patricia Espinoza,39,81.33,3.8,12,2,1,(935)646-1742,careywillie@example.org,Jessicaville,Pennsylvania,86824,Premium,329.72,2019-05-16,2023-05-19
241fe55b-2905-45a0-83e2-a2ab5eec38db,Nicholas Horton,47,197.79,1.69,12,2,0,321.974.0580x74517,brownadam@example.com,Vickihaven,North Dakota,95629,Basic,446.99,2018-12-21,2023-01-29
f8bae594-39ad-4c15-b8b9-298630115b8f,Cindy Contreras,39,108.43,8.85,24,4,1,(215)861-2515x684,christinahuffman@example.com,Hudsonborough,Montana,68565,Premium,662.78,2020-06-07,2022-10-09
b53ad9a2-4f21-4767-a4f2-2ef2bb744cf0,Dr. Michael Allen,69,195.18,7.5,36,2,1,+1-554-670-7118x224,sharon84@example.com,West Curtis,Montana,55199,Standard,530.79,2019-08-05,2023-06-11
2ceb305e-7e3c-429a-84c0-94d633365923,Robert Bishop,76,142.54,5.27,36,5,0,7896258432,lewisdavid@example.com,Anthonyton,Alabama,89582,Basic,625.29,2018-10-25,2023-03-23
03651c42-38b3-4c95-85ba-b7d610f34520,Danielle Alvarado,37,164.35,9.01,24,3,1,432-281-1878x847,cynthiamayer@example.com,South Leahton,New York,74429,Basic,815.97,2022-01-15,2023-05-17
fe5fff25-f5d0-4db6-9b68-1a78da4ba1e5,Corey Hoffman,62,182.39,2.0,12,5,1,+1-745-201-4698x982,ahull@example.org,Robertchester,Louisiana,39638,Basic,686.55,2022-07-07,2022-11-01
32326f63-f0fb-4d58-9089-de94cf54f098,Jodi Lewis,72,108.42,5.24,12,4,0,001-207-383-1940x50794,abrown@example.org,Garciaview,Ohio,31668,Premium,104.78,2022-08-08,2023-06-14
a48d5683-f142-4bab-8e08-44f8ab3a329d,Keith Goodwin,74,188.4,4.06,24,1,0,705.805.1508x83203,robertrojas@example.com,East Nancy,Iowa,86941,Premium,711.63,2020-07-16,2023-03-02
c0064f66-e1fc-41c3-baed-82c2942657e6,William Phillips,47,79.84,8.82,12,5,0,+1-967-752-3119,nberger@example.com,Michaelburgh,West Virginia,96098,Basic,858.01,2019-12-03,2022-10-23
b18d431c-b08d-4da3-8f12-84ae43ef56ae,Maria Carey,31,198.07,3.08,12,5,0,(570)510-0371x810,fisherlisa@example.org,Cervantesmouth,Louisiana,25213,Standard,953.53,2021-09-13,2023-08-28
4968a6f9-9566-4603-ab57-5e54ad49beed,John Martinez,40,191.06,4.56,36,4,0,(487)640-8502x6876,cmoss@example.com,West Gregorytown,New York,28052,Premium,770.04,2019-07-07,2023-07-30
85960638-b480-4f81-a106-9ea85e6dd9ce,Cathy Adkins,72,36.98,4.64,24,5,0,(557)693-0547x14853,barberbrianna@example.net,West Joe,West Virginia,58498,Standard,217.42,2019-09-08,2022-12-08
a74af523-a3e4-48c5-acfe-a862bc518092,Paula Washington,20,101.31,4.12,12,1,0,+1-879-413-6043x219,bvaldez@example.org,Novakport,Oregon,74672,Premium,608.4,2019-07-26,2023-09-25
1d66819e-3646-4eec-a7e9-9556025a45db,Desiree Mccormick,52,79.57,7.04,24,3,0,5177214358,iramirez@example.org,Jonesberg,Minnesota,57445,Premium,632.17,2022-05-27,2023-06-23
a3c578ea-f748-4102-b2d5-408df8adf521,Zachary Jones,56,197.1,9.1,12,3,1,001-333-588-8589x3367,nathanielpowell@example.com,New Susan,West Virginia,49174,Basic,347.81,2022-08-09,2022-10-04
ddd40682-f298-4116-b969-18af185b5073,Sandra Walker,21,31.12,2.21,24,4,1,001-277-656-0129x74801,matthewnewton@example.net,Brettmouth,New Mexico,12536,Standard,627.22,2020-09-20,2023-03-17
66637308-9e79-4b8a-b6c5-02041bd06431,Marcus Morales,22,161.78,7.8,12,3,0,001-869-747-7997x7738,josephhoffman@example.net,West Jenniferfurt,Wisconsin,52958,Standard,293.26,2023-05-05,2023-02-18
e381fe51-6185-455c-8d5d-b29e19448be8,Jeanne Davis,22,189.68,3.45,36,1,0,(436)472-4108x269,ckeller@example.net,South Mary,Wisconsin,27030,Premium,236.29,2019-12-02,2023-01-10
61cd600c-e260-4763-affe-a952a370ee82,Cheyenne Kelley,35,126.98,5.62,36,3,0,(293)682-6236x733,ymckee@example.net,Warnerfurt,Florida,79590,Basic,345.31,2022-03-19,2022-10-19
0bc948f6-d681-4c01-8132-3bb102bfe43e,Kenneth Tran,35,161.37,2.15,24,2,1,300-946-1769,bellchristopher@example.com,East Stephen,Minnesota,98614,Premium,201.78,2021-01-02,2023-09-15
cc8b45cb-204f-438c-800d-3949462347ff,Daniel Cain,42,126.32,6.79,36,2,0,(456)672-7406x3677,vsalas@example.net,Port Stephaniefurt,Michigan,17947,Standard,442.28,2021-11-25,2023-03-07
5e29db30-4d4b-4583-912d-bc81ea763f69,Nicholas Cherry,51,91.94,6.57,12,5,1,+1-703-307-1020x98493,piercerichard@example.net,Harmonstad,Nebraska,03578,Basic,220.08,2022-04-03,2023-09-15
8b43cec1-2abf-41df-9ad5-a0672727fac8,Kyle Blankenship,23,136.97,8.59,12,1,1,(496)843-0187,curtis99@example.com,Careyland,Arizona,25020,Basic,499.24,2021-04-04,2023-07-25
67404caf-528c-4c55-a732-1c4a89a4dd8d,Jeanne Joseph,24,164.53,7.7,36,1,1,+1-306-931-9955,carrollvictoria@example.net,Juliehaven,Montana,45363,Standard,197.46,2020-08-01,2023-09-05
23645f1e-faae-4b9f-ba27-74ed804c50ee,Tyler Olson,52,80.53,7.61,12,4,0,+1-345-694-6086,jessicajones@example.org,East Brettborough,Nevada,51863,Premium,947.95,2021-08-31,2023-02-26
21d2ddb2-c704-4819-9712-5c83cac3e1e9,Anna Hernandez,71,124.61,4.36,24,5,1,524-824-0242x68871,jameshale@example.net,Youngfurt,North Carolina,90855,Premium,324.06,2020-05-18,2023-08-05
010a265a-84b6-46b7-8093-b690d43e62b9,Joshua Gordon,75,151.65,5.94,12,1,1,(275)845-1081,kim00@example.org,North Kaitlinborough,Illinois,36623,Basic,313.05,2021-04-22,2023-06-15
3b87768a-5f8a-485e-be4a-bfbe7fdc33b4,Michael Shaw,29,99.61,3.03,24,4,1,+1-313-759-5666x7112,kathy91@example.net,North Justinberg,New Mexico,13612,Basic,241.47,2019-07-15,2022-12-25
978a644e-4015-4b0c-9d15-44b1825d4165,Kara Torres,51,63.37,6.67,12,3,1,001-984-436-0893,linda11@example.org,Faulknerbury,Louisiana,19071,Standard,386.4,2020-10-24,2023-09-25
db4d94a7-b588-4870-9a4c-ac52779ef67f,Abigail Robinson,22,161.14,2.18,12,2,0,6516752746,bbailey@example.com,Robertside,Vermont,10549,Standard,674.84,2021-11-02,2023-06-05
